"Product Name","ASIN","Ownership Type","Ownership Subtype"
"The Boy from the Woods: Wilde, Book 1","B07ZPDRVYF","Item Owner","KindleUnlimited"
"The Boy from the Woods","B07TYBQJBM","Item Owner","KindleUnlimited"
"The Master & Margarita","B08KH4LZDM","Item Owner","KindleUnlimited"
"Index, A History of the: A Bookish Adventure from Medieval Manuscripts to the Digital Age","B098TZ17NC","Item Owner","PublicLibraryLending"
"The Mosquito Bowl: A Game of Life and Death in World War II","B09FK32FY3","Item Owner","PublicLibraryLending"
"Super-Infinite: The Transformations of John Donne","B09NTK9WDQ","Item Owner","PublicLibraryLending"
"The Sympathizer: A Novel (Pulitzer Prize for Fiction)","B00PSSG4MM","Item Owner","PublicLibraryLending"
"A Gentleman in Moscow: A Novel","B01COJUEZ0","Item Owner","PublicLibraryLending"
"Demon Copperhead: A Pulitzer Prize Winner","B09QMHZ53K","Item Owner","PublicLibraryLending"
"Random","B0B2F5J32D","Item Owner","PublicLibraryLending"
"Godspeed","B08NT2VSWF","Item Owner","PublicLibraryLending"
"Randomize: Forward collection","B07X7K7DVS","Item Owner","KindleUnlimited"
"Randomize (Forward collection)","B07VDJBKNJ","Item Owner","KindleUnlimited"
"World's Greatest Running Lessons: 50 Lessons to Elevate Your Running","B0B33PJZJT","Item Owner","KindleUnlimited"
"If Nietzsche Were a Narwhal: What Animal Intelligence Reveals About Human Stupidity","B09QKTFZGR","Item Owner","PublicLibraryLending"
"Night of the Living Rez","B09NH4DJBP","Item Owner","PublicLibraryLending"
"Nöthin' But a Good Time: The Uncensored History of the '80s Hard Rock Explosion","B08BYBNGMW","Item Owner","PublicLibraryLending"
"The Idiot: A Novel","B01HNJIJ3U","Item Owner","PublicLibraryLending"
"The Passenger","B09T9D8QY7","Item Owner","PublicLibraryLending"
"Small Game: A Novel","B09R21YVLM","Item Owner","PublicLibraryLending"
"The Icepick Surgeon: Murder, Fraud, Sabotage, Piracy, and Other Dastardly Deeds Perpetrated in the Name of Science","0316496502","Not Interested","GR"
"Not Available","B0DWVKQQYP","Not Interested","GR"
"No One Left to Come Looking for You: A Novel","B09RX2WQ3M","Not Interested","GR"
"The Mosquito Bowl: A Game of Life and Death in World War II","0062879928","Not Interested","GR"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","B00AEBETU2","Item Owner","PublicLibraryLending"
"Indigenous Continent: The Epic Contest for North America","B0B193DJYK","Item Owner","PublicLibraryLending"
"Sugar Street","080216000X","Not Interested","GR"
"In Fifty Words!: Micro Fictions","B07WK8JZ9N","Item Owner","KindleUnlimited"
"If I Survive You","B09NTJPTKN","Item Owner","PublicLibraryLending"
"Lost & Found: A Memoir","B09285Y1V4","Item Owner","PublicLibraryLending"
"Heart of a Dog","B0BH8GTQYX","Not Interested","RC"
"Liberation Day: Stories","0525509593","Not Interested","GR"
"Dinosaurs: A Novel","1324021462","Not Interested","GR"
"The Bullet That Missed: (The Thursday Murder Club 3)","0241512425","Not Interested","GR"
"Running Smart: How Science Can Improve Your Endurance and Performance","0262542447","Not Interested","GR"
"The Girl in His Shadow: A Novel","B08DHDY24D","Item Owner","PublicLibraryLending"
"The Man Who Died Twice: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 2)","B08YRM9NBM","Item Owner","PublicLibraryLending"
"A Slow Fire Burning: A Novel","B08PC3SZHX","Item Owner","PublicLibraryLending"
"Nine Lives: A Novel","B097769VDM","Item Owner","PublicLibraryLending"
"Iron Lake (20th Anniversary Edition): A Novel (Cork O'Connor Mystery Series Book 1)","B000FC0QBQ","Item Owner","PublicLibraryLending"
"Five Decembers","B08THH7R49","Item Owner","PublicLibraryLending"
"Bomb Shelter: Love, Time, and Other Explosives","B09841WSGD","Item Owner","PublicLibraryLending"
"When I'm Gone, Look for Me in the East: A Novel","B095MPSYWY","Item Owner","PublicLibraryLending"
"The Thursday Murder Club: A Novel (Thursday Murder Club Mysteries Book 1)","B084M663VB","Item Owner","PublicLibraryLending"
"The 5 Love Languages: The Secret to Love that Lasts","B00OICLVBI","Item Owner","PublicLibraryLending"
"Less (Winner of the Pulitzer Prize): A Novel (The Arthur Less Books Book 1)","B01MSICPW3","Item Owner","PublicLibraryLending"
"My Year Abroad: A Novel","B08HL86V91","Item Owner","PublicLibraryLending"
"Outline","0571233627","Not Interested","GR"
"Crossroads: A Novel","B08N8Z99MK","Item Owner","PublicLibraryLending"
"Do Hard Things: Why We Get Resilience Wrong and the Surprising Science of Real Toughness","006309861X","Not Interested","GR"
"River of the Gods: Genius, Courage, and Betrayal in the Search for the Source of the Nile","B09BTJNJCX","Item Owner","PublicLibraryLending"
"The Guide: A novel","B08P98PVY2","Item Owner","PublicLibraryLending"
"Imagine Me Gone","B0151YQYYU","Item Owner","PublicLibraryLending"
"The Angel of Rome: And Other Stories","006286811X","Not Interested","GR"
"Train Dreams","1250007658","Not Interested","GR"
"The Plant-Based Athlete: A Game-Changing Approach to Peak Performance","B08J3YYP2M","Item Owner","KindleUnlimited"
"The Paris Apartment: A Novel","B098QS47D3","Item Owner","PublicLibraryLending"
"Stupid Things I Won't Do When I Get Old: A Highly Judgmental, Unapologetically Honest Accounting of All the Things Our Elders Are Doing Wrong","B08KL58Q4X","Item Owner","PublicLibraryLending"
"Trail Runner: How to Build it, How to keep it","B09QBBMXCR","Item Owner","KindleUnlimited"
"The Netanyahus","1913097609","Not Interested","GR"
"The Rover","B00S05Q7JK","Item Owner","KindleUnlimited"
"The Rover (Kindle Single)","B00JX43A0G","Item Owner","KindleUnlimited"
"Anthem","B093ZQCS29","Item Owner","PublicLibraryLending"
"Immune: A Journey into the Mysterious System That Keeps You Alive","B08XTNHRR5","Item Owner","PublicLibraryLending"
"Not Available","B0DLT3PF2D","Not Interested","GR"
"Not Available","B09QCX4JK7","Not Interested","RC"
"Not Available","B09Q1SQ567","Not Interested","RC"
"The Silent Patient","B07D2C6J4K","Item Owner","PublicLibraryLending"
"Broken Ice: A Novel (Nils Shapiro Book 2)","B0756J4NRG","Item Owner","PublicLibraryLending"
"The Swimmers: A novel (CARNEGIE MEDAL FOR EXCELLENCE WINNER)","B095MMJYSR","Item Owner","PublicLibraryLending"
"Dead West: A Novel (Nils Shapiro Book 4)","B07WYSF921","Not Interested","GR"
"Matt Goldman","Not Available","Collection Follow","AUTHOR"
"Matt Goldman","Not Available","Collection Follow","AUTHOR"
"Sweat: A History of Exercise","1620402289","Not Interested","GR"
"The Shallows: A Nils Shapiro Novel (Nils Shapiro, 3)","1250191319","Not Interested","GR"
"Sea of Tranquility: A novel","B099DRHTLX","Item Owner","PublicLibraryLending"
"Gone to Dust: A Novel (Nils Shapiro Book 1)","B01NBJMMRR","Item Owner","PublicLibraryLending"
"Several People Are Typing: A GMA Book Club Pick","B08PY1XTB8","Item Owner","PublicLibraryLending"
"The Maid: A GMA Book Club Pick: A Novel (Molly the Maid 1)","B091Y4KGFH","Item Owner","PublicLibraryLending"
"Hidden Valley Road: Inside the Mind of an American Family","B07TZYFR71","Item Owner","PublicLibraryLending"
"The Plot: A Novel (The Book Series 1)","B08JKC299M","Item Owner","PublicLibraryLending"
"Give a Girl a Knife: A Memoir","B01LWWK7WR","Item Owner","PublicLibraryLending"
"Old Yeller (Perennial Classics)","B004TE79F2","Not Interested","GR"
"Tartuffe (Drama Classics)","1854596373","Not Interested","GR"
"Riverman: An American Odyssey","B098PXP11K","Item Owner","PublicLibraryLending"
"Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night","B08FH9BV7N","Item Owner","PublicLibraryLending"
"The Cartographers: A Novel","B08G1NJK2R","Item Owner","PublicLibraryLending"
"Dreamland (YA edition): The True Tale of America's Opiate Epidemic","B07TVRR6GR","Item Owner","PublicLibraryLending"
"300 Arguments: Essays","1555977642","Not Interested","GR"
"Princeton Review AP European History Premium Prep, 2022: 6 Practice Tests + Complete Content Review + Strategies & Techniques (2022) (College Test Preparation)","0525570659","Item Owner","Purchase"
"When We Cease to Understand the World","B08QM8VHRT","Item Owner","PublicLibraryLending"
"The Prince of Tides: A Novel","0553381547","Not Interested","GR"
"Under the Banner of Heaven : A Story of Violent Faith","0330419129","Not Interested","GR"
"Lit: A Memoir","0060596988","Not Interested","GR"
"Atlas of the Invisible: Maps & Graphics That Will Change How You See the World","1846149711","Not Interested","GR"
"Not Available","B0DWVBX3BW","Not Interested","GR"
"Check These Out: One Librarian's Catalog of the 200 Coolest, Best, and Most Important Books You'll Ever Read","B0108VD2L4","Item Owner","KindleUnlimited"
"How You Can Run Faster Effortlessly","B00HYQEJAK","Item Owner","KindleUnlimited"
"Better Off Dead: A Jack Reacher Novel","B08SBMCSQQ","Item Owner","PublicLibraryLending"
"Appleseed: A Novel","B08L3P3VGQ","Item Owner","PublicLibraryLending"
"Not Available","B0DWVTXL87","Not Interested","GR"
"Summary Analysis Of Immune By Philipp Dettmer: A Journey into the Mysterious System That Keeps You Alive","B09LM328XY","Item Owner","KindleUnlimited"
"Broken Open: Mountains, Demons, Treadmills And a Search for Nirvana","B07N2X3ST6","Item Owner","KindleUnlimited"
"The Lincoln Highway: A Novel","B08WRH53MY","Item Owner","PublicLibraryLending"
"The Lions of Lucerne (Scot Harvath Book 1)","B000FC0R7O","Item Owner","PublicLibraryLending"
"Very Cold People: A Novel","0593241223","Not Interested","GR"
"Index, A History of the: A Bookish Adventure from Medieval Manuscripts to the Digital Age","1324002549","Not Interested","GR"
"The Secret to Superhuman Strength","B08B38JVKY","Item Owner","PublicLibraryLending"
"Our Country Friends: A Novel","B08VRP55V1","Item Owner","PublicLibraryLending"
"Chatter: The Voice in Our Head, Why It Matters, and How to Harness It","B087PL8YVQ","Item Owner","PublicLibraryLending"
"Leave Society (Vintage Contemporaries)","B08PK59474","Item Owner","PublicLibraryLending"
"Sleepwalk: A Novel","1250175216","Not Interested","GR"
"Not Available","B093B4BGRK","Not Interested","RC"
"Cloud Cuckoo Land: A Novel","B08TRMSR3Z","Item Owner","PublicLibraryLending"
"Goalie Mindset Secrets: 7 Must Have Goalie Mindset Secrets You Don't Learn in School!","B07LGLF1JG","Not Interested","RC"
"The Night the Lights Went Out: A Memoir of Life After Brain Damage","B08SJQSWYM","Item Owner","PublicLibraryLending"
"Stronger Than the Dark: Exploring the Intimate Relationship Between Running and Depression","B0955FXRLM","Item Owner","KindleUnlimited"
"Piranesi","B0865TSTWM","Item Owner","PublicLibraryLending"
"Fuzz: When Nature Breaks the Law","B08XP24KR8","Item Owner","PublicLibraryLending"
"Running Is a Kind of Dreaming: A Memoir","B08RZ4PTSF","Not Interested","RC"
"2666: A Novel","B00D0K3FQI","Item Owner","PublicLibraryLending"
"Matrix: A Novel","1594634491","Not Interested","GR"
"Not Available","B09DTHWW83","Not Interested","RC"
"Not Available","B09DT9P11L","Not Interested","RC"
"World Travel: An Irreverent Guide","B083SN8RF7","Item Owner","PublicLibraryLending"
"The Night Watchman: Pulitzer Prize Winning Fiction","B07SKWFVYW","Item Owner","PublicLibraryLending"
"Running Back in Time: Discovering the Formula to Beat the Aging Process and Get Younger (Younger Than Ever Book 2)","B0893YWV5Q","Item Owner","KindleUnlimited"
"The Searcher: A Novel","B08681BNKV","Item Owner","PublicLibraryLending"
"Which Comes First, Cardio or Weights?: Fitness Myths, Training Truths, and Other Surprising Discoveries from the Science of Exercise","006200753X","Not Interested","GR"
"Indian Horse: A Novel","B07C3XLBHG","Item Owner","KindleUnlimited"
"God Carlos","1617751391","Not Interested","GR"
"What We Talk About When We Talk About Books: The History and Future of Reading","0465042686","Not Interested","GR"
"The Stoic Challenge: A Philosopher's Guide to Becoming Tougher, Calmer, and More Resilient","B07P9DC6TY","Item Owner","PublicLibraryLending"
"T. Coraghessan Boyle","Not Available","Collection Follow","AUTHOR"
"T. Coraghessan Boyle","Not Available","Collection Follow","AUTHOR"
"Man's Search for Meaning","B009U9S6FI","Item Owner","PublicLibraryLending"
"It's So Easy: and other lies","145160663X","Not Interested","GR"
"Discourse on Method and Meditations on First Philosophy, 4th Ed.","0872204200","Not Interested","GR"
"Anti-Oedipus: Capitalism and Schizophrenia","0816612250","Not Interested","GR"
"Of Grammatology","0801858305","Not Interested","GR"
"Simulacra and Simulation (The Body, In Theory: Histories Of Cultural Materialism)","0472065211","Not Interested","GR"
"Humble Pi: A Comedy of Maths Errors","0241360196","Not Interested","GR"
"Difference and Repetition","0231081596","Not Interested","GR"
"Caffeine: How Caffeine Created the Modern World","B083MYJXZT","Item Owner","AudiblePlus"
"Man's Search for Meaning","B0006IU470","Item Owner","AudiblePlus"
"The Topeka School: A Novel","B07MYXB26N","Item Owner","PublicLibraryLending"
"The Library Book","B07CL5ZLHX","Item Owner","PublicLibraryLending"
"Not Available","B0DM28C597","Not Interested","GR"
"Running Man: A Memoir","B0176M3XHQ","Not Interested","GR"
"Not Available","B000S73E2Q","Not Interested","GR"
"Man's Search for Meaning (OLD EDITION/OUT OF PRINT)","080701429X","Not Interested","GR"
"Life Is a Marathon: A Memoir of Love and Endurance","0738284777","Not Interested","GR"
"Pale Fire by Nabokov, Vladimir ( Author ) ON Aug-31-2000, Paperback","B0092JP94W","Not Interested","GR"
"The Virgin Suicides","0747560595","Not Interested","GR"
"The Pale King","0316074233","Not Interested","GR"
"Not Available","B0DWV5GL7L","Not Interested","GR"
"Grant","159420487X","Not Interested","GR"
"The First American: The Life and Times of Benjamin Franklin","0385495404","Not Interested","GR"
"The Modern Classics Myth of Sisyphus (Penguin Modern Classics)","0141182008","Not Interested","GR"
"Rush Limbaugh Is a Big Fat Idiot : And Other Observations","0141018410","Not Interested","GR"
"When Nietzsche Wept","0060748125","Not Interested","GR"
"Subdivision: A Novel","1644450488","Not Interested","GR"
"Klara and the Sun: A GMA Book Club Pick: A novel","059331817X","Not Interested","GR"
"Not Available","B0DSYJJGD4","Not Interested","GR"
"Nobodys Fool By Russo Richard","B00A2OH066","Not Interested","GR"
"Not Available","B008YEAALS","Not Interested","GR"
"The God of Small Things","B006E58GFG","Not Interested","GR"
"Walden or, Life in the Woods","B0059EFI4U","Not Interested","GR"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia)","B000QQKTGI","Not Interested","GR"
"She's Come Undone","B000MZ077O","Not Interested","GR"
"The Jungle: The Uncensored Original Edition","1884365302","Not Interested","GR"
"Sophie's World","1857993284","Not Interested","GR"
"Sub 4:00: Alan Webb and the Quest for the Fastest Mile","1594860564","Not Interested","GR"
"The Gift of the Magi","141693586X","Not Interested","GR"
"The Good Earth (Enriched Classics)","1416500189","Not Interested","GR"
"The Last Lecture","1401323251","Not Interested","GR"
"Pnin: Introduction by David Lodge (Everyman's Library Contemporary Classics Series)","1400041988","Not Interested","GR"
"Love in the Time of Cholera","140003468X","Not Interested","GR"
"A Thousand Acres: A Novel","1400033837","Not Interested","GR"
"Tar Baby","1400033446","Not Interested","GR"
"The Wind-Up Bird Chronicle","0965341984","Not Interested","GR"
"The Alienist","0812976142","Not Interested","GR"
"Cold Mountain: A Novel","0802142842","Not Interested","GR"
"Naked Lunch: The Restored Text","0802140181","Not Interested","GR"
"Ficciones","0802130305","Not Interested","GR"
"The Cider House Rules","0786226749","Not Interested","GR"
"Red Harvest","0752852612","Not Interested","GR"
"The Beautiful and Damned","0743451503","Not Interested","GR"
"Jonathan Livingston Seagull","0743278909","Not Interested","GR"
"Assassination Vacation","074326004X","Not Interested","GR"
"The Shipping News: A Novel","0743225422","Not Interested","GR"
"John Adams","0743223136","Not Interested","GR"
"The Old Man And The Sea (Scribner Classics) (Hemingway Library Edition)","0684830493","Not Interested","GR"
"The Lorax (Classic Seuss)","0679889108","Not Interested","GR"
"Oh, the Places You'll Go!","0679805273","Not Interested","GR"
"American Sphinx: The Character of Thomas Jefferson","0679764410","Not Interested","GR"
"In Cold Blood","0679745580","Not Interested","GR"
"The Grifters","0679732489","Not Interested","GR"
"Ada, or Ardor: A Family Chronicle","0679725229","Not Interested","GR"
"I, Claudius From the Autobiography of Tiberius Claudius Born 10 B.C. Murdered and Deified A.D. 54 (Vintage International)","067972477X","Not Interested","GR"
"Double Indemnity","0679723226","Not Interested","GR"
"Running Dog","0679722947","Not Interested","GR"
"The Thin Man","0679722637","Not Interested","GR"
"The Heart Is a Lonely Hunter","0618084746","Not Interested","GR"
"1919: Volume Two of the U.S.A. Trilogy (U.S.A. Trilogy, 2)","0618056823","Not Interested","GR"
"The 42nd Parallel: Volume One of the U.S.A. Trilogy (U.S.A. Trilogy, 1)","0618056815","Not Interested","GR"
"Tortilla Flat","0582461502","Not Interested","GR"
"The Bell Jar","0571268862","Not Interested","GR"
"The Clan of the Cave Bear: Earth's Children, Book One","0553381679","Not Interested","GR"
"The Tell-Tale Heart (Bantam Classics)","0553212281","Not Interested","GR"
"Prayer for Owen Meany (Export Ed.)","0552135399","Not Interested","GR"
"Girl with a Pearl Earring, Deluxe Edition","0452287022","Not Interested","GR"
"Sula (Oprah's Book Club)","0452283868","Not Interested","GR"
"Rabbit at Rest","0449911942","Not Interested","GR"
"Rabbit, Run","0449911659","Not Interested","GR"
"The Cat in the Hat","039480001X","Not Interested","GR"
"The Big Sleep (A Philip Marlowe Novel)","0394758285","Not Interested","GR"
"The Long Goodbye","0394757688","Not Interested","GR"
"Breakfast of Champions: A Novel","0385334206","Not Interested","GR"
"Where the Red Fern Grows","0375806814","Not Interested","GR"
"Crossing to Safety (Modern Library Classics)","037575931X","Not Interested","GR"
"Lincoln: A Novel (The American Chronicle Series)","0375708766","Not Interested","GR"
"The World According to Garp","0345915593","Not Interested","GR"
"The Killer Angels: The Classic Novel of the Civil War","0345348109","Not Interested","GR"
"Franny and Zooey","0316769029","Not Interested","GR"
"Holidays on Ice","0316191299","Not Interested","GR"
"Running with Scissors: A Memoir","031242227X","Not Interested","GR"
"Running with Scissors: A Memoir","031242227X","Not Interested","NI"
"Aesop's Fables (Oxford World's Classics)","0192840509","Not Interested","GR"
"Flowers for Algernon","015603008X","Not Interested","GR"
"The Kitchen God's Wife: A Novel","0143038109","Not Interested","GR"
"The Canterbury Tales","0140424385","Not Interested","GR"
"JR (Penguin Twentieth-Century Classics)","0140187073","Not Interested","GR"
"Lucky Jim","0140186301","Not Interested","GR"
"Freakonomics [Revised and Expanded]: A Rogue Economist Explores the Hidden Side of Everything","0061234001","Not Interested","GR"
"Ham on Rye: A Novel","006117758X","Not Interested","GR"
"Their Eyes Were Watching God","0061120065","Not Interested","GR"
"I Know This Much Is True (Oprah's Book Club)","0060987561","Not Interested","GR"
"Where the Sidewalk Ends","0060513039","Not Interested","GR"
"How the Grinch Stole Christmas!","0007173040","Not Interested","GR"
"Malibu Rising: A Novel","B08L9QD4NH","Item Owner","Purchase"
"The Midnight Library: A GMA Book Club Pick (A Novel)","B085S8BSYS","Item Owner","Purchase"
"Not Available","B0DWVNHKSZ","Not Interested","GR"
"Not Available","B0DSZNSNLV","Not Interested","GR"
"Alice in Wonderland: The Original 1865 Edition With Complete Illustrations By Sir John Tenniel (A Classic Novel of Lewis Carroll)","B0948LPG76","Not Interested","GR"
"Not Available","B00BG704OS","Not Interested","GR"
"A People's History of The United States 1492- Present","B007CDYGTO","Not Interested","GR"
"Racing Weight: How to Get Lean for Peak Performance","1934030511","Not Interested","GR"
"Malibu Rising: A Read with Jenna Pick: A Novel","1524798657","Not Interested","GR"
"Memoirs of a Geisha","1400096898","Not Interested","GR"
"Tropic of Capricorn (Miller, Henry)","0802151825","Not Interested","GR"
"The Electric Kool-Aid Acid Test","0553380648","Not Interested","GR"
"The Electric Kool-Aid Acid Test","0553380648","Not Interested","NI"
"The Midnight Library: A GMA Book Club Pick: A Novel","0525559477","Not Interested","GR"
"Hamlet (Cambridge School Shakespeare)","0521618746","Not Interested","GR"
"Les Miserables","0451525264","Not Interested","GR"
"80/20 Running: Run Stronger and Race Faster by Training Slower","0451470885","Not Interested","GR"
"A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments","0316925284","Not Interested","GR"
"Charlotte's Web","0064410935","Not Interested","GR"
"The Crying of Lot 49 (Perennial Fiction Library)","006091307X","Not Interested","GR"
"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman","B003EI2EH2","Item Owner","PublicLibraryLending"
"The Science of Running: How to find your limit and train to maximize your performance","B00II6SY4W","Item Owner","Purchase"
"Raft of Stars: A Novel","B08BLMJ576","Item Owner","PublicLibraryLending"
"God Carlos","B008TY8BQ4","Item Owner","PublicLibraryLending"
"Not Available","B0DWTZNGK3","Not Interested","GR"
"Not Available","B0DWTYS1XW","Not Interested","GR"
"Not Available","B0DWTQM8GW","Not Interested","GR"
"Not Available","B0DVH1BKQC","Not Interested","GR"
"Not Available","B0DV1SKQC9","Not Interested","GR"
"Not Available","B0DT2MD2ZY","Not Interested","GR"
"Not Available","B0DSZTSVB9","Not Interested","GR"
"Not Available","B0DSZLN57Y","Not Interested","GR"
"Not Available","B0DSZL6M5S","Not Interested","GR"
"Not Available","B0DN8P5BQF","Not Interested","GR"
"Not Available","B0DN24HKCC","Not Interested","GR"
"Not Available","B0DM1L9WVQ","Not Interested","GR"
"Not Available","B0DLT3N34W","Not Interested","GR"
"The Picture of Dorian Gray (Annotated): Oscar Wilde's 1891 Original Novel Length Version","B0CPCB8FJQ","Not Interested","GR"
"Bestseller Tuesdays With Morrie By Mitch Albom_2002_Paperback","B09WVKQ4G4","Not Interested","GR"
"Fleishman Is in Trouble: A Novel","B07RGXBTNW","Not Interested","GR"
"The Christmas Scorpion: A Jack Reacher Story","B07H1YMCRW","Not Interested","GR"
"Too Much Time: A Jack Reacher Short Story","B07D9BXZ7M","Not Interested","GR"
"Stiff: The Curious Lives of Human Cadavers","B07D1FY27M","Not Interested","GR"
"Outside Looking In: A Novel","B07C2FQ8GQ","Not Interested","GR"
"The Runner: Four Years Living and Running in the Wilderness","B07BSH3F8H","Not Interested","GR"
"Calypso","B0796QV121","Not Interested","GR"
"Run Strong, Stay Hungry: 9 Keys to Staying in the Race","B074ST9DGK","Not Interested","GR"
"The Oracle Year: A Novel","B072HLSHDY","Not Interested","GR"
"Endure: Mind, Body, and the Curiously Elastic Limits of Human Performance","B0716GZX33","Not Interested","GR"
"Not Available","B06ZXXDM2F","Not Interested","GR"
"The Woman in the Window: A Novel","B06Y55Z36S","Not Interested","GR"
"Heather, the Totality","B01N193KAF","Not Interested","GR"
"The Thirst: A Harry Hole Novel (Harry Hole Series Book 11)","B01M1FJTB5","Not Interested","GR"
"Blitzed: Drugs in the Third Reich","B01IAS9G94","Not Interested","GR"
"FEAR & LOATHING IN LAS VEGAS : SAVAGE JOURNEY TO HEART OF AMER DREAM","B01BITNA5S","Not Interested","GR"
"Before the Fall","B0196KVVGQ","Not Interested","GR"
"The Stranger by Albert Camus (1989) Paperback","B01181UBSU","Not Interested","GR"
"When Breath Becomes Air: Pulitzer Prize Finalist","B00XSSYR50","Not Interested","GR"
"Not Available","B00L0F018U","Not Interested","GR"
"When Runnning Was Young and So Were We: collected works of a sportswriter from the golden age of American running","B00JX5EWFC","Not Interested","GR"
"Bark: Stories (Vintage Contemporaries)","B00F1W0DWC","Not Interested","GR"
"Trouble Boys: The True Story of the Replacements","B00B3M3VMI","Not Interested","GR"
"The Iliad By Homer Fagles Robert Knox Bernard MacGregor Walker","B00A2KEJ5A","Not Interested","GR"
"Worth Dying For: A Jack Reacher Novel","B009IJ0GSA","Not Interested","GR"
"Deep Down (A Jack Reacher short story) (Jack Reacher Short Stories Book 3)","B008DVVLYW","Not Interested","GR"
"The Enemy - 1st Edition/1st Printing","B007H8WG7S","Not Interested","GR"
"Nickel and Dimed","B0075OQY3Q","Not Interested","GR"
"Othello (Folger Shakespeare Library)","B006U1QW78","Not Interested","GR"
"The Sun Also Rises","B005PYJ9S0","Not Interested","GR"
"Why We Run: A Natural History","B001O7ESCE","Not Interested","GR"
"Vineland","3499136287","Not Interested","GR"
"Hell's Angels","222109073X","Not Interested","GR"
"Not Available","1940056551","Not Interested","GR"
"How Bad Do You Want It?: Mastering the Psychology of Mind over Muscle","1937715418","Not Interested","GR"
"Poverty Creek Journal (Tupelo Press's Life in Art)","193679750X","Not Interested","GR"
"A Hologram for the King","193636574X","Not Interested","GR"
"Heart of Darkness (Green Integer)","1892295490","Not Interested","GR"
"Again to Carthage","1891369776","Not Interested","GR"
"Plato: Crito (Greek Texts)","1853994693","Not Interested","GR"
"The Trip to Echo Spring: Why Writers Drink","1847677940","Not Interested","GR"
"The Corrections","1841156736","Not Interested","GR"
"Cherry","178733094X","Not Interested","GR"
"Ghost Wall","1783784458","Not Interested","GR"
"Ego is the Enemy: The Fight to Master Our Greatest Opponent","1781257027","Not Interested","GR"
"The Way of the Runner: A Journey into the Fabled World of Japanese Running","1681771217","Not Interested","GR"
"Running the Dream: One Summer Living, Training, and Racing with a Team of World-Class Runners Half My Age","164313762X","Not Interested","GR"
"The Rise of the Ultra Runners: A Journey to the Edge of Human Endurance","1643131354","Not Interested","GR"
"The Passion Paradox: A Guide to Going All In, Finding Success, and Discovering the Benefits of an Unbalanced Life","1635653436","Not Interested","GR"
"Milk!: A 10,000-Year Food Fracas","1632863820","Not Interested","GR"
"American Fire: Love, Arson, and Life in a Vanishing Land","1631490516","Not Interested","GR"
"The North Water: A Novel","1627795944","Not Interested","GR"
"Hunter's Moon: A Novel in Stories","162779476X","Not Interested","GR"
"Runner's World Train Smart, Run Forever: How to Become a Fit and Healthy Lifelong Runner by Following The Innovative 7-Hour Workout Week","1623367468","Not Interested","GR"
"My Marathon: Reflections on a Gold Medal Life","1623367247","Not Interested","GR"
"Chasing the Scream: The First and Last Days of the War on Drugs","1620408902","Not Interested","GR"
"Running Is My Therapy: Relieve Stress and Anxiety, Fight Depression, Ditch Bad Habits, and Live Happier","1615194444","Not Interested","GR"
"The Messiah Method: The Seven Disciplines of the Winningest College Soccer Program in America","1613790252","Not Interested","GR"
"Pedestrianism: When Watching People Walk Was America's Favorite Spectator Sport","1613743971","Not Interested","GR"
"Against Football: One Fan's Reluctant Manifesto","161219415X","Not Interested","GR"
"I Swear I'll Make It Up to You: A Life on the Low Road","1610395581","Not Interested","GR"
"Fates and Furies: A Novel","1594634475","Not Interested","GR"
"The Girl on the Train","1594633665","Not Interested","GR"
"The Kite Runner","159463193X","Not Interested","GR"
"The Brief Wondrous Life of Oscar Wao (Pulitzer Prize Winner)","1594489580","Not Interested","GR"
"How Not to Be Wrong: The Power of Mathematical Thinking","1594205221","Not Interested","GR"
"The Poison Squad: One Chemist's Single-Minded Crusade for Food Safety at the Turn of the Twentieth Century","1594205140","Not Interested","GR"
"Redeployment","1594204993","Not Interested","GR"
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation","1592402038","Not Interested","GR"
"The Sports Gene: Inside the Science of Extraordinary Athletic Performance","1591845114","Not Interested","GR"
"Comfortable with Uncertainty: 108 Teachings on Cultivating Fearlessness and Compassion","1590300785","Not Interested","GR"
"Running with the Buffaloes: A Season Inside with Mark Wetmore, Adam Goucher, and the University of Colorado Men's Cross-Country Team","1585748048","Not Interested","GR"
"Ultramarathon Man: Confessions of an All-Night Runner","1585424803","Not Interested","GR"
"Oedipus Rex: Literary Touchstone Edition","1580495931","Not Interested","GR"
"Today We Die a Little!: The Inimitable Emil Zátopek, the Greatest Olympic Runner of All Time","1568585497","Not Interested","GR"
"Stephen Florida","1566894646","Not Interested","GR"
"Water for Elephants: A Novel","1565125606","Not Interested","GR"
"Wittgenstein's Mistress","1564782115","Not Interested","GR"
"A Christmas Carol (Great Stories)","1561797464","Not Interested","GR"
"The Yellow Wall-Paper","1558611584","Not Interested","GR"
"Royal City Volume 1: Next of Kin","153430262X","Not Interested","GR"
