AchievementGroupName,AchievementName,EarnDate,Marketplace,Quantity
"2024 Year End Kindle Challenge",GoldReader,2024-12-29T06:08:28Z,www.amazon.com,1
"2024 Year End Kindle Challenge",BiblioBlizzard,2024-12-23T06:46:54Z,www.amazon.com,1
"2024 Year End Kindle Challenge",Bibliophile,2024-12-08T05:43:19Z,www.amazon.com,1
"2024 Year End Kindle Challenge",BestOf2024,2024-12-08T05:43:18Z,www.amazon.com,1
"2024 Year End Kindle Challenge",AutumnsFables,2024-12-01T06:01:58Z,www.amazon.com,1
"2024 Year End Kindle Challenge",SilverReader,2024-11-14T09:02:23Z,www.amazon.com,1
"2024 Year End Kindle Challenge",PerfectWeek,2024-11-03T05:03:18Z,www.amazon.com,4
"2024 Year End Kindle Challenge",Bookworm,2024-10-31T02:56:23Z,www.amazon.com,1
"2024 Year End Kindle Challenge",Bookish,2024-10-20T03:05:54Z,www.amazon.com,1
"2024 Year End Kindle Challenge",Whodunit,2024-10-20T03:05:53Z,www.amazon.com,1
"2024 Year End Kindle Challenge",BronzeReader,2024-10-17T18:03:05Z,www.amazon.com,1
"2024 Year End Kindle Challenge",PrimeBigDeal,2024-10-09T20:03:14Z,www.amazon.com,1
"2024 Year End Kindle Challenge",HeadStart,2024-10-01T21:07:19Z,www.amazon.com,3
"2024 Kindle Summer Challenge",LastChapter,2024-09-26T22:05:28Z,www.amazon.com,1
"2024 Kindle Summer Challenge",QuartetReader,2024-09-26T21:18:54Z,www.amazon.com,1
"2024 Kindle Summer Challenge",NationaleBookDay,2024-09-19T01:34:00Z,www.amazon.com,1
"2024 Kindle Summer Challenge",GoldReader,2024-09-17T03:34:49Z,www.amazon.com,1
"2024 Kindle Summer Challenge",Bibliophile,2024-08-24T04:45:58Z,www.amazon.com,1
"2024 Kindle Summer Challenge",BookLover,2024-08-20T03:51:30Z,www.amazon.com,1
"2024 Kindle Summer Challenge",Bookworm,2024-08-20T03:51:30Z,www.amazon.com,1
"2024 Kindle Summer Challenge",SilverReader,2024-08-12T22:07:17Z,www.amazon.com,1
